id,name,type,area,center_lng,center_lat
42476,,apartments,613.1379031854613,37.7381122,56.8460827
42477,,apartments,365.88543982860347,37.73981055,56.84538415
42478,,apartments,531.736733736564,37.738221325,56.845329
42479,,apartments,493.35312345942555,37.737744725,56.845126900000004
42480,,apartments,548.0400411919775,37.74092885,56.846184675
42481,,apartments,583.4301717926995,37.740790399999995,56.847404725
42482,,apartments,633.4442854350201,37.7429219,56.8456369
42483,,apartments,352.9404366719999,37.739800425,56.8450178
42484,,apartments,295.277804096919,40.9554768375,57.766187
42485,,apartments,391.32428499140195,37.995018566666666,55.74899885
42486,,residential,71.08800805134094,40.9475052,57.76730417499999
42487,,residential,95.957045668101,40.9478706,57.7669398
42488,,residential,78.13714611831207,40.946673649999994,57.767404875
42489,,residential,113.60693347184858,40.9470518,57.76825395
42490,,residential,280.9725527925543,40.949191674999994,57.76879895
42491,,residential,187.3812714243104,40.94994038,57.76966114
42492,,apartments,561.2188550199879,37.585246614285715,55.73355831428571
42493,,apartments,393.98985423655853,37.6634549625,55.74296058750001
42494,,apartments,229.76757059152877,37.6636978875,55.7430362625
42495,,apartments,2345.719405016834,37.84797783333334,55.78457343333334
42496,,apartments,2216.4013909453192,37.84719926666667,55.78418946666667
42497,,apartments,2595.5731040209444,40.98486778666666,56.949845980000006
42498,,apartments,1004.7689206459684,40.98135969999999,56.95122570625
42499,,apartments,1005.1511697859,40.98220725625001,56.95085416875
42500,,apartments,1445.309249386697,40.96384185,56.96540789166668
42501,,residential,853.7528575552361,39.0636411,58.02680231428571
42502,,residential,734.9366854879542,39.064844675,58.0269058
42503,,apartments,240.31071426281517,37.81197316666667,56.81425149166665
42504,,apartments,255.49753319019777,37.812328275,56.81392020000001
42505,,apartments,567.8863748476473,37.812367355,56.813358635
42506,,apartments,554.8737339668501,37.81084917272727,56.81437918636364
42507,,apartments,539.3440884843226,37.817455949999996,56.810262425
42508,,apartments,574.3425237150699,37.817379949999996,56.80987929999999
42509,,apartments,414.9330992657576,37.81679162499999,56.81044515
42510,,apartments,231.128977713504,37.81589480833333,56.81018103333333
42511,,apartments,273.58153045090216,37.815252916666665,56.8102642
42512,,apartments,575.6324604022918,37.819074775000004,56.80968085
42513,,apartments,474.16732875799073,37.8149501625,56.81112455
42514,,apartments,371.75033965242403,37.81735985,56.81060945
42515,,apartments,482.7888589872258,37.819556975,56.8084004
42516,,apartments,499.74489967637174,37.8181213,56.8097214
42517,,apartments,455.78824231456775,37.81814435,56.8090938
42518,,apartments,1841.3707704799656,38.970080975,55.800193674999996
42519,,apartments,1144.556817981462,38.969956525,55.800758325000004
42520,,apartments,2631.7522269070014,38.970920625000005,55.800426825
42521,,apartments,295.9758658031932,37.92625965999999,56.734357419999995
42522,,apartments,536.6165660854352,37.924764825,56.733915325
42523,,apartments,574.7698672123962,37.92652586,56.73414047999999
42524,,apartments,279.51170111605506,37.92521582,56.73423818
42525,,apartments,275.13939009086323,37.92549502,56.73434416
42526,,apartments,1946.4696634781246,37.63105462,55.89724918
42527,,apartments,1286.807312827363,37.63230188888888,55.89684005
42528,,apartments,264.8238805563153,41.018347675,57.748432075000004
42529,,apartments,357.5919967982464,41.01428286666666,57.747957753333345
42530,,apartments,903.8289007702833,41.014505,57.74727455
42531,,apartments,401.56282362248675,40.995293999999994,57.7477223
42532,,apartments,555.342549144439,37.6178473,56.728437324999994
42533,,apartments,390.82474647269385,37.6177756,56.726758059999995
42534,,apartments,404.1673703324179,37.61912822000001,56.72673832
42535,,apartments,376.96731535944497,37.61915002,56.727725
42536,,apartments,365.5033212083562,37.61779676,56.727746960000005
42537,,apartments,226.7749115499282,37.620305125,56.7277713
42538,,detached,68.64392513289825,39.920591925,57.6475141
42539,,detached,126.40501390626046,39.920320600000004,57.647420999999994
42540,,detached,42.50172213869323,39.919777475000004,57.647104825
42541,,detached,50.76554645002491,39.919947699999994,57.6474121
42542,,detached,61.35807316118506,39.9201173,57.64749865
42543,,detached,61.78416531791621,39.920593374999996,57.647909075
42544,,detached,68.95252944960473,39.92134025,57.6487444
42545,,detached,285.76313294752697,39.921652675000004,57.64864293749999
42546,,detached,202.21939859488248,39.9214038375,57.64845255000001
42547,,detached,92.23183239028816,39.921145575,57.6483098
42548,,detached,154.87555965094555,39.92086481666667,57.64811313333334
42549,,detached,70.40740253231674,39.91936693333333,57.6469751
42550,,detached,129.40774210658267,39.91951304,57.64699313
42551,,apartments,726.5575047029818,37.644995889473684,55.757393400000005
42552,,apartments,564.0942576037068,39.970750025,57.652538525
42553,,apartments,488.9018092065694,39.9351969,57.6534376
42554,,apartments,352.7703748404182,37.92271365,56.075550725
42555,,apartments,732.7365519150248,37.9469576375,55.748521662499996
42556,,apartments,1172.1067501034474,40.35537307083333,56.109929629166686
42557,,apartments,1238.6505481699128,42.0980471,57.474789400000006
42558,,apartments,1315.4117375262094,41.28795135,56.345703625
42559,,apartments,2807.235532869708,42.098422275,57.47298505
42560,,apartments,216.94390244918577,42.09743374999999,57.474388725
42561,,apartments,561.4966122432211,37.7039423,55.780123325
42562,,apartments,722.222487266919,40.95732778,56.99788932
42563,,apartments,2129.5481690601346,42.1017808375,57.471670624999994
42564,,apartments,533.4838618148927,42.092386,57.4766605
42565,,apartments,222.9309630951326,42.095534549999996,57.47598245
42566,,apartments,913.1335639283448,42.10297801666667,57.47108103333333
42567,,apartments,913.4603140727622,42.103729666666666,57.47060418333333
42568,,apartments,275.45847931521655,42.0967603,57.474593025
42569,,apartments,200.75318231584095,42.096706125000004,57.47400035
42570,,apartments,197.0081706168445,42.09613949999999,57.473688975
42571,,apartments,189.11425414776582,42.095511349999995,57.47342325
42572,Общежитие №3,dormitory,865.8510537524722,40.940134140000005,56.99992676000001
42573,Общежитие №3А,dormitory,663.7838920306687,40.93939338333333,56.99989708333334
42574,,apartments,274.1855587555764,37.59432759999999,55.740393757142854
